Watch for new projects and new beginnings | Prepare to take something on faith | Something new comes your way; go for it | freedom | faith | inexperience | innocence | Freeing yourself from limitation | Expressing joy and youthful vigor | Being open-minded | Taking a leap of faith | Attuning yourself to your instincts | Being eager or curious | Exploring your potential | Embracing innovation and change | Being gullible and naive | Taking unnecessary risks | Failing to be serious when required | Being silly or distracted | Lacking experience | Failing to honor well-established traditions and limits | Behaving inappropriately | The Fool | 0 | major |  |  |  |  |  | 
Get over playing the victim | "Once you realize you are your own biggest obstacle, nothing can hold you back" |  | restriction | limitation | confinement | helplessness | Honoring limits | Respecting the rules | Deciding to go on a diet for your health's sake | Recognizing you cannot always be in control | Identifying obstacles to further progress | Refusing to think about unhealthy or unethical options | Asking for assistance |  | Feeling trapped | Being lost in a maze of rules and regulations | Giving in to despair | Playing the victim | Allowing others to dictate what you can and cannot do | Being rendered helpless | Having very few options | eight of swords | 8 | swords |  |  |  |  | Failing to look for a way out | 
"If you take the action you're considering now, you'll be sorry in the future" |  |  | remorse | worry | distraught | conclusion | Refusing to worry about what you cannot control | Rejecting anxiety | Judging your own performance with kindness and gentleness | Using meditation to quiet a troubled mind | Confronting nightmares and fears | Drawing a conclusion and putting an issue out of your mind |  |  | Torturing yourself with regrets | Second-guessing your every move | Beating yourself up for your mistakes | Depression | Obsessing on errors and overlooked details | Refusing to handle stress in healthy ways | Ruining your ability to appreciate the present by dwelling on the past | nine of swords | 9 | swords |  |  |  |  | Debating irreversible decisions | 
Disaster | Put off plans and do not take action until omens are better |  | exhaustion | ruin | disaster | stamina | Seeing the signs that you've reached your limits | Paying attention to what your body is trying to tell you | Giving in to the need for rest and renewal | Acknowledging that you've hit bottom | Committing to a turnaround | Knowing the worst is over |  |  | Accepting defeat prematurely | "Driving yourself to total exhaustion, especially mentally" | Experiencing a mental breakdown | Obsessing on a problem to the breaking point | Giving up | Refusing to move from thought to action | Deeply unhealthy thoughts | ten of swords | 10 | swords | obsession |  |  |  |  | 
"This card represents a young man or woman with an airy, intellectual demeanor, likely born a Capricorn, Aquarius, or Pisces, who wants to learn something new from you or have a discussion with you" |  |  | student | apprentice | scholarship | information | Pursuing a course of study | Asking good questions | Investing time in study and practice | Doing research | Making a habit of learning new things | Starting an investigation | Outlining what you need to know | Finding a mentor or teacher | Pretending to knowledge or sophistication you do not possess | Cheating on an exam | Feigning interest as a way of gaining favor | Considering only the evidence that supports conclusions you've already drawn | Rejecting the wise counsel of experienced teachers |  |  | page of swords | page | swords |  |  |  |  |  | 
A blunder leads someone to say something he or she regrets | "If this was you, be prepared to apologize and move on" |  | bluntness | intelligence | incisiveness | investigation | Speaking your mind | Making your opinions known | Offering constructive criticism | Sharing your knowledge | Making insightful observations | Pinpointing the problem | Clarifying what others have said | Giving clear direction to others | Stating your opinions as fact | Picking fights | Starting arguments | Using clever insults to undermine the confidence of others | Tossing reason out the window | Speaking without taking the feelings of others into account | Going on a witch hunt | knight of swords | knight | swords |  |  |  |  | Distorting evidence | Uncovering the truth
"This card represents a woman with an artistic, intellectual nature, likely born between September 12th and October 12th, who uses clever, positive communication to sway others to her point of view" |  |  | grace | skill | wit | charm | Exercising tact or using diplomacy | Defusing a tense situation | Knowing what to say and how to say it | Making others feel comfortable and confident | Bringing out the best in everyone | Having a way with words | Telling jokes | "Possessing a knack for music, math, art, or science" | Knowing exactly what to say to destroy another person | Withholding critical information | Using a barbed tongue to upset others | Employing sarcasm | Mimicking others unkindly | Making light of the less fortunate | Being disrespectful | queen of swords | queen | swords | aptitude |  |  |  | Failing to use the talent you've been given | 
"This card represents an older man with an insightful, deliberate spirit, likely born between May 11th and June 10th, who is known for his integrity and sharp decision-making ability" |  |  | genius | expertise | decision | verdict | Expressing yourself with firmness and authority | Rendering a final decision | Consulting an expert | Calling in advisors and consultants | Coming to a final conclusion | Reaching a beneficial agreement based on sound information |  |  | Insisting on having the last word | Flaunting your intellectual capability | "Talking ""over the heads"" of others" | Waffling on an important decision | Constantly changing your mind | Refusing to make choices that are in your own best interest | Wishing in vain you could take back what's been said | king of swords | king | swords |  |  |  |  |  | 
Your health will improve | The check you're looking for really is in the mail |  | health | wealth | practicality | receiving | Outlining a plan for achieving prosperity | Becoming aware of opportunities to improve income or health | Realizing you have everything you need | Appreciating everything the Universe has given you | Receiving the perfect gift at the perfect time |  |  |  | Indulging in relentless consumerism | "Wanting more, no matter how much you have" | Obsessing on your account balance | Suffering from hypochondria | Consuming blessings without expressing gratitude | Taking what you want without concern for the needs of others |  | ace of coins | 1 | coins |  |  |  |  |  | 
It's time to balance the budget | Avoid the temptation to spend critical funds on frivolous goods |  | evaluation | decision | budgeting | diagnosis | Weighing options | Comparing prices | Determining the value of one option over another | Juggling resources to make ends meet | Making difficult choices based on what's best for your body or your bankbook | Looking at the bottom line | Asking for a second opinion on health issues |  | Engaging in endless price comparison | Putting off a buying decision for fear of finding a slightly better value later on | Buying something without regard for value | Breaking your budget with unnecessary expenses | Engaging in behavior with no regard for how your body or bankbook will be impacted |  |  | two of coins | 2 | coins |  |  |  |  |  | 
A high-dollar contract is in your future | "If you work hard, you'll succeed" |  | expression | production | work | contribution | Finishing a project | Setting and meeting standards | Performing according to specifications | Making something others value | Creating something new | Doing your part in a group project | Delivering exactly what others have asked for |  | Pandering to the tastes of others | Failing to deliver what you've promised | Not delivering your best work unless closely supervised | Ignoring or breaking agreements with those who have invested in you | Refusing to do your part | Failing to abide by a clearly-outlined agreement with yourself or others |  | three of coins | 3 | coins |  |  |  |  |  | 
A rainy day is coming—it's time to save |  |  | protection | conservation | preservation | safety | Saving for a rainy day | Fasting as part of a spiritual practice | Dieting in an effort to improve your body | Abstaining from sex as a way of honoring a spiritual tradition or personal promise | Being financially conservative | Establishing a trust fund | Opening a savings account |  | Being stingy | Refusing to spend money that needs to be spent | Withholding sex from your partner | "Taking care of your own needs exclusively, without regard for the needs of others" | Spending a dollar to save a penny | Failing to be a good manager of the blessings you've been given |  | four of coins | 4 | coins |  |  |  |  |  | 
Finances are getting tighter | Prepare for a setback |  | poverty | destitution | need | crisis | Recognizing your needs and taking action to fulfill them | Doing as much as you can do with what little you have | Admitting you need help | Embracing the aid that comes your way | Focusing on what you have versus what you don't | Looking for the light at the end of the tunnel |  |  | Exaggerating your financial or physical needs | Adopting a poverty mentality | Refusing to support yourself | Refusing offers of support | Playing the martyr | Turning down opportunities to improve your health or finances | Wallowing in misery | five of coins | 5 | coins |  |  |  |  |  | 
"When you need help, ask for it" | "Remember, though: what you receive may be limited by what you've given to others in the past" |  | charity | fairness | cooperation | sharing | "Giving time, money, or effort to a charity" | Taking part in a group effort | Lending your resources to others without expecting anything in return | Making sure everyone is treated equally | Working together toward a common goal | "Redistributing wealth, time, or attention" | Tithing | Sharing credit for your success | Making a loan as a means of gaining control over someone | Using charitable acts to draw attention to yourself | Dividing work or resources unfairly | Failing to do your part in a group effort | Ignoring obligations and commitments |  |  | six of coins | 6 | coins |  |  |  |  |  | 
Things won't work out as expected | Pick up the pieces and prepare to move on |  | assessment | evaluation | re-evaluation | reflection | Measuring progress toward your goal | Looking at results with an eye toward improving performance | "Asking, ""How happy am I?""" | Coming up with ideas for improving your health or prosperity | Deciding it's time for a change | Expressing an honest opinion |  |  | Becoming distracted by melancholy thoughts | "Longing for ""the good old days""" | Beating yourself up over lost opportunities | Judging your own work harshly | Holding others to inappropriate standards | "Refusing to take part in a project, then whining about the quality of the outcome" |  | seven of coins | 7 | coins |  |  |  |  |  | 
"Stop over-analyzing, researching, and outlining" | Buckle down and get the work done |  | effort | work diligence | skill |  | Doing your best | Bringing enthusiasm and zeal to your work | Making an effort to be the best you can be | Finding the work that is right for you | Taking care of the small details | Becoming a finely skilled craftsperson | Building something with your hands | Making a handmade gift | Working yourself to death | Doing a half-hearted or sloppy job | Continuing in a job you hate | Buying thoughtless gifts | Producing work with shoddy craftsmanship | Rushing through your work | Rejecting opportunities to learn more about your craft | eight of coins | 8 | coins |  |  |  |  |  | 
"Until you appreciate what you have, you won't have any luck getting more" |  |  | training | discipline | confidence | enough | Investing time in learning or teaching a difficult task | Restraining yourself from physical or financial extremes | Making sacrifices as a way of achieving larger goals | Breaking a complex task down into simple steps | Wanting what you have | Knowing the difference between needs and wants |  |  | Being assigned to a task without being trained to perform it | Pursuing a position for which you are not qualified | Disregarding requirements | Refusing to dedicate adequate time or attention when learning about something or someone new | Always craving more |  |  | nine of coins | 9 | coins |  |  |  |  |  | 
Big money is in the near future | Expect a powerful blessing to come your way |  | wealth | abundance | acquisition | greed | Celebrating your physical and financial blessings | Realizing how lucky or how blessed you are | Being satisfied with your physical and financial achievements | "Taking best advantage of ""times of plenty""" | Enjoying a feast | Showering friends or family with gifts |  |  | Spending all of your money on extravagant gifts and possessions | Trying too hard to impress others with your wealth or physique | Giving an inappropriately expensive gift as a means of currying favor | "Obsessing on matters of weight, health, or finance" | "Always asking, ""What's in it for me?""" |  |  | ten of coins | 10 | coins |  |  |  |  |  | 
"This card represents a young man or woman with an earthy, practical demeanor, likely born an Aries, Taurus, or Gemini, who playfully encourages you to take financial or sexual risks" |  |  | practicality | prosperity | learning | growth | Learning the value of a dollar | Starting a savings plan | Taking the first steps toward getting out of debt | Learning new physical tasks | Discovering your sexuality | "Launching a diet, a weight-lifting program, or a health-related effort" | Learning by doing |  | Trying to appear healthier or wealthier than you really are | Spending money carelessly | "Living strictly for today, with no thought of tomorrow" | Possessing immature attitudes toward sex and sexuality | Using wealth or beauty as an excuse for not having to learn and grow |  |  | page of coins | page | coins | adolescence |  |  |  |  | 
A stingy person may chide you for spending money | Be prepared to defend an economic or sexual decision |  | caution | focus | realism | invention | Spending money wisely | Saving for a rainy day | Paying close attention to physical or financial details | Knowing where every dollar goes | Having safe sex | "Preferring facts to ""good feelings""" | "Finding creative ways to ""make do"" with resources on hand" | Completing a new invention | Throwing caution to the four winds | Spending without regard for consequence | Spending on luxury when necessities are lacking | Escaping stress by spending money | Obsessing on tiny physical or financial details | Perpetually chasing after some new bauble | Copying another's work and claiming it as your own | knight of coins | knight | coins |  |  |  |  |  | 
"This card represents a woman with an expansive, sensual nature, likely born between December 13th and 31st, who uses sensual appeal and the promise of reward to sway others to her point of view" |  |  | luxury | comfort | resourcefulness | generosity | "Appreciating fine food, fine wine, beautiful art, beautiful bodies, or any of the better things in life" | Reveling in healthy sexuality | Treating yourself | "Splurging on the occasional ""nice to have"" item" | Rewarding someone with compensation above and beyond expectations | Having it all |  |  | Indulging in gluttony or greediness | Becoming insatiable | Blunting the impact of treats by indulging in them too often | Providing physical comfort without providing for emotional needs | Allowing a feeling of entitlement to distort your gratitude for what you're given |  |  | queen of coins | queen | coins | prosperity |  |  |  |  | 
"This card represents an older man with a financially, socially, and politically conservative spirit, likely born between August 12th and September 11th, who is known for putting his money where his mouth is" |  |  | stability | dependability | confidence | intervention | Becoming debt-free | Having more than enough to get by | Making contributions to a savings plan | Taking a new job with an eye toward advancing your career | Buying life or health insurance | Being confident in the bedroom | Taking on the role of enforcer when called upon to do so |  | Becoming so conservative you resist all change on principle alone | Ignoring innovations in the name of preserving tradition | Being smug or cocky | Becoming ruthlessly dedicated to profit or pleasure | Being sexually selfish | "Bossing others around, especially when you're not empowered to do so" |  | king of coins | king | coins |  |  |  |  |  | 
